rank,sequence_encoded,sequence_decoded,length,g_value,significant,direction
1,0-1,1 2,2,0.0001,True,control>lesion
2,3-8-7-8-9,4 3* 2* 3* 4*,5,0.0001,True,control>lesion
3,8-1-8-1,3* 2 3* 2,4,0.0001,True,lesion>control
4,8-3-8-7-8-9,3* 4 3* 2* 3* 4*,6,0.0001,True,control>lesion
5,0-1-8,1 2 3*,3,0.0001,True,control>lesion
6,8-1-8-1-8,3* 2 3* 2 3*,5,0.0001,True,lesion>control
7,7-3,2* 4,2,0.0001,True,lesion>control
8,8-7-3,3* 2* 4,3,0.0001,True,lesion>control
9,7-3-8,2* 4 3*,3,0.0001,True,lesion>control
10,8-7-3-8,3* 2* 4 3*,4,0.0001,True,lesion>control
11,1-8-1-8-1,2 3* 2 3* 2,5,0.0001,True,lesion>control
12,0-1-8-9-8,1 2 3* 4* 3*,5,0.0001,True,control>lesion
13,8-1-8-1-8-1,3* 2 3* 2 3* 2,6,0.0001,True,lesion>control
14,1-8-1-8-1-8,2 3* 2 3* 2 3*,6,0.0001,True,lesion>control
15,3-8-7-3-8,4 3* 2* 4 3*,5,0.0001,True,lesion>control
16,7-0-1-8-9-8,2* 1 2 3* 4* 3*,6,0.0001,True,control>lesion
17,7-8-9-4,2* 3* 4* 5,4,0.0001,True,control>lesion
18,8-7-8-9-4,3* 2* 3* 4* 5,5,0.0001,True,control>lesion
19,9-4-3,4* 5 4,3,0.0001,True,control>lesion
20,8-9-4-3,3* 4* 5 4,4,0.0001,True,control>lesion
21,4-3-8-7-8,5 4 3* 2* 3*,5,0.0001,True,control>lesion
22,9-4-3-8,4* 5 4 3*,4,0.0001,True,control>lesion
23,8-9-4-3-8,3* 4* 5 4 3*,5,0.0001,True,control>lesion
24,8-1-0-1,3* 2 1 2,4,0.0001,True,control>lesion
25,9-4-3-8-7,4* 5 4 3* 2*,5,0.0001,True,control>lesion
26,8-9-4-3-8-7,3* 4* 5 4 3* 2*,6,0.0001,True,control>lesion
27,7-3-8-7-8,2* 4 3* 2* 3*,5,0.0001,True,lesion>control
28,8-7-3-8-7-8,3* 2* 4 3* 2* 3*,6,0.0001,True,lesion>control
29,4-3-8-7-8-9,5 4 3* 2* 3* 4*,6,0.0001,True,control>lesion
30,0-1-8-9-8-3,1 2 3* 4* 3* 4,6,0.0001,True,control>lesion
31,9-8-7-3-8,4* 3* 2* 4 3*,5,0.0001,True,lesion>control
